insurance_company,product_name,male_premium,female_premium,coverage_amount,renewal_cycle,special_notes
ABL생명,(무)ABL건강N더보장종합보험(갱신형)(간편심사형),33,14,100만원,갱신형,"1. 가입나이 : 일반심사형 만15세 ~ 최대 80세, 간편심사형 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 간편심사형 / 일반심사형 4. 보험기간 : 10년/20년/30년 만기 갱신형 5. 납입기간: 전기납 6. 보험료 예시기준 : 간편심사형(325), 가입금액 100만원, 40세, 20년 만기 갱신형, 전기납, 월납, 최초계약 7. 보험가격지수 예시기준 : 간편심사형(325), 가입금액 100만원, 40세, 20년 만기 갱신형, 전기납, 월납, 최초계약 8. 특약보험료 예시기준 - (무)허혈심장질환진단특약DII(갱신형)(간편심사형) : 간편심사형(325), 20년만기, 전기납, 월납, 최초계약 - (무)수술보장특약DII(갱신형)(간편심사형) : 간편심사형(325), 20년만기, 전기납, 월납, 최초계약 - (무)일반암진단특약DII(갱신형)(간편심사형) : 간편심사형(325), 20년만기, 전기납, 월납, 최초계약 - (무)암직접치료입원보장특약DII(갱신형)(간편심사형) : 간편심사형(325), 20년만기, 전기납, 월납, 최초계약"
ABL생명,(무)ABL건강N더보장종합보험(갱신형)(일반심사형),30,11,100만원,갱신형,"1. 가입나이 : 일반심사형 만15세 ~ 최대 80세, 간편심사형 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 간편심사형 / 일반심사형 4. 보험기간 : 10년/20년/30년 만기 갱신형 5. 납입기간: 전기납 6. 보험료 예시기준 : 일반심사형, 가입금액 100만원, 40세, 20년 만기 갱신형, 전기납, 월납, 최초계약 7. 보험가격지수 예시기준 : 일반심사형, 가입금액 100만원, 40세, 20년 만기 갱신형, 전기납, 월납, 최초계약 8. 특약보험료 예시기준 - (무)허혈심장질환진단특약DII(갱신형)(일반심사형) : 일반심사형, 20년만기, 전기납, 월납, 최초계약 - (무)수술보장특약DII(갱신형)(일반심사형) : 일반심사형, 20년만기, 전기납, 월납, 최초계약 - (무)일반암진단특약DII(갱신형)(일반심사형) : 일반심사형, 20년만기, 전기납, 월납, 최초계약 - (무)암직접치료입원보장특약DII(갱신형)(일반심사형) : 일반심사형, 20년만기, 전기납, 월납, 최초계약"
ABL생명,(무)더나은ABL안심보험(해약환급금일부지급형),349600,172500,"1,000만원",비갱신형,"1. 가입나이 : (1형 장해보장형) 만15세 ~ 최대 75세 (성별, 납입기간별 상이) (2형 상해보장형) 만15세 ~ 최대 75세 (성별, 납입기간별 상이) 2. 가입한도 : (1형 장해보장형) 65세 이하 - 100만원 ~ 7,000만원 66세 이상 - 100만원 ~ 4,000만원 (2형 상해보장형) 70세 이하 - 100만원 ~ 5,000만원 71세 이상 - 100만원 ~ 3,000만원 3. 보험종류 - 1형(장해보장형) - 해약환급금 일부지급형(50%) - 2형(상해보장형) - 해약환급금 일부지급형(50%) 4. 보험기간 : 100세/110세 만기 5. 납입기간 : 5/7/10/15/20년납 6. 적용이율 : 가입 후 경과기간 10년 이내 3.00% / 10년 초과 2.00% 7. 보험료 예시기준 : 1형(장해보장형), 해약환급금 일부지급형(50%), 가입금액 1,000만원, 40세, 100세만기, 20년납, 월납 8. 보험가격지수 예시기준 : 1형(장해보장형), 해약환급금 일부지급형(50%), 가입금액 1,000만원, 40세, 100세만기, 20년납, 월납 "
ABL생명,(무)더나은ABL안심보험(해약환급금일부지급형),349600,172500,"1,000만원",,
ABL생명,(무)더나은ABL안심보험(해약환급금일부지급형),349600,172500,"1,000만원",,
ABL생명,(무)더나은ABL안심보험(해약환급금일부지급형),349600,172500,"1,000만원",,
ABL생명,무배당 ABL인터넷네개딱!패키지건강보험(갱신형),240,60,"1,000만원",갱신형,"1. 상품형태 : 10년갱신형, 20년갱신형 2. 가입나이 : 만19세 ~ 60세 3. 가입한도 : 500만원/ 1,000만원 4. 보험료 기준 : 20년갱신형, 전기납, 월납, 가입금액 1,000만원, 40세 5. 보험료가격지수 기준 : 20년갱신형, 전기납, 월납, 가입금액 1,000만원, 40세 6. 특약보험료 예시기준 - (무)ABL인터넷뇌심보장패키지특약(갱신형) : 20년만기, 전기납, 월납, 최초계약 - (무)ABL인터넷입원수술보장패키지특약Ⅱ(갱신형) : 20년만기, 전기납, 월납, 최초계약 - (무)ABL인터넷암보장패키지특약(갱신형) : 20년만기, 전기납, 월납, 최초계약 - (무)ABL인터넷장해보장패키지특약(갱신형) : 20년만기, 전기납, 월납, 최초계약 ※ 이 상품의 약관, 상품요약서 등 세부내용은 당사 홈페이지 상품공시실에서 확인하실 수 있습니다."
삼성생명,"삼성The간편한다(多)모은건강보험(2502)(갱신형,무배당)_2종(일반고지형)",370,140,"1,000만원",갱신형,"□ 필수기재사항 1. 가입나이 : 최저 만 15세 ~ 최대 80세 2. 보험기간 - 최초계약 : 20년만기 - 갱신계약 : 1~20년만기 ※ 주계약의 최종 갱신계약의 보험기간 만료일은 피보험자의 100세 계약해당일의 전일 - 단, 일부 선택특약은 보험기간 상이 3. 보험료 예시기준 - 40세,보험기간 20년만기 전기납(최대 100세),월납,위험지수 비위험, 최초계약 - 주보험 2종 (일반고지형) 보험가입금액 3,000만원 □ 선택기재사항 1. 납입기간 : 전기납 2. 보험가격지수 예시기준 - 2종(일반고지형), 40세, 보험기간 20년만기 전기납, 월납, 위험지수 비위험, 가입금액 3,000만원, 최초계약 기준"
삼성생명,"삼성The간편한다(多)모은건강보험(2502)(갱신형,무배당)_1종(간편고지형)",350,140,"1,000만원",갱신형,"□ 필수기재사항 1. 가입나이 : 최저 만 15세 ~ 최대 80세 2. 보험기간 - 최초계약 : 20년만기 - 갱신계약 : 1~20년만기 ※ 주계약의 최종 갱신계약의 보험기간 만료일은 피보험자의 100세 계약해당일의 전일 - 단, 일부 선택특약은 보험기간 상이 3. 보험료 예시기준 - 40세,보험기간 20년만기 전기납(최대 100세),월납,위험지수 비위험, 최초계약 - 주보험 1종 1형(간편고지형 3.10.5) 보험가입금액 3,000만원 □ 선택기재사항 1. 납입기간 : 전기납 2. 보험가격지수 예시기준 - 1종 1형(간편고지형 3.10.5), 40세, 보험기간 20년만기 전기납, 월납, 위험지수 비위험, 가입금액 3,000만원, 최초계약 기준"
삼성생명,"삼성 초간편종합보장보험(2403)(갱신형,무배당)_2종(일반고지형)",690,270,3000만원,갱신형,"□ 필수기재사항 1. 가입나이 : 최저 만15세 ~ 최대 85세 2. 보험기간 - 최초계약 : 15년만기 / 30년만기 - 갱신계약 : 1~15년만기 / 1~30년만기 ※ 주계약의 최종 갱신계약의 보험기간 만료일은 피보험자의 100세 계약해당일의 전일 - 단, 일부 선택특약은 보험기간 상이 3. 보험료 예시기준 - 40세, 보험기간 15년만기 전기납(최대 100세), 월납, 위험지수 비위험, 최초계약 - 주보험 보험가입금액 3,000만원 □ 선택기재사항 1. 납입기간 : 전기납 2. 보험가격지수 예시기준 - 40세, 보험기간 15년 만기 전기납, 월납,위험지수 비위험, 가입금액 3,000만원, 최초계약 기준"
