회사명,상품명,지급금액,가입금액,남자(보험료),여자(보험료),나이,성별,직업,직업 위험도
한화생명,한화생명 간편가입 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,1839000,1733000,66,여자,무직,저위험
한화생명,한화생명 간편가입 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,85000,64000,29,남자,기술직,저위험
한화생명,한화생명 간편가입 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,1799000,1691000,75,남자,무직,저위험
한화생명,한화생명 간편가입 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,83000,62000,35,여자,농업,위험
한화생명,한화생명 간편가입 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,5000,6000,38,여자,무직,저위험
한화생명,한화생명 간편가입 상속H종신보험 무배당,100000000,100000000,193000,164000,17,여자,학생,저위험
한화생명,한화생명 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,1721000,1636000,36,남자,무직,저위험
한화생명,한화생명 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,67000,48000,67,여자,무직,저위험
한화생명,한화생명 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,1683000,1596000,16,남자,학생,저위험
한화생명,한화생명 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,66000,47000,44,여자,고소작업자,고위험
한화생명,한화생명 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형Ⅱ),10000000,10000000,3000,4000,52,여자,공무원,저위험
한화생명,한화생명 간편가입 제로백H종신보험 무배당,10000000,10000000,1673000,1556000,16,남자,학생,저위험
한화생명,한화생명 간편가입 제로백H종신보험 무배당,10000000,10000000,8000,8000,78,남자,무직,저위험
한화생명,한화생명 제로백H종신보험 무배당,10000000,10000000,1546000,1442000,74,남자,무직,저위험
한화생명,한화생명 제로백H종신보험 무배당,10000000,10000000,5000,5000,35,여자,군인,고위험
한화생명,한화생명 간편가입 암플러스 종신보험 무배당,10000000,10000000,1834000,1597000,47,여자,위험화학작업자,고위험
한화생명,한화생명 간편가입 암플러스 종신보험 무배당,10000000,10000000,1834000,1597000,72,여자,무직,저위험
한화생명,한화생명 간편가입 암플러스 종신보험 무배당,10000000,10000000,63000,41000,36,남자,회계사,저위험
한화생명,한화생명 암플러스 종신보험 무배당,10000000,10000000,1669000,1458000,63,여자,HR,저위험
한화생명,한화생명 암플러스 종신보험 무배당,20000000,10000000,1669000,1458000,73,남자,무직,저위험
한화생명,한화생명 암플러스 종신보험 무배당,10000000,10000000,49000,31000,56,남자,운전직,위험
한화생명,한화생명 상속H종신보험 무배당,100000000,100000000,170000,147000,74,남자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(간편심사형),10000000,10000000,3000,3000,29,여자,항만노동자,위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(간편심사형),10000000,10000000,22000,24000,76,여자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(간편심사형),10000000,10000000,21000,24000,76,남자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(간편심사형),10000000,10000000,16000,15000,61,여자,위험화학작업자,고위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(간편심사형),10000000,10000000,13000,11000,76,남자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(일반심사형),1000000,1000000,3000,3000,65,남자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(일반심사형),150011000,10000000,18000,17000,69,여자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(일반심사형),10000000,10000000,13000,14000,78,남자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(일반심사형),10000000,10000000,13000,11000,17,남자,학생,저위험
ABL생명,(무)ABL건강N더보장종합보험(해약환급금 미지급형)(일반심사형),10000000,10000000,10000,7000,65,여자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(간편심사형),1000000,1000000,3000,3000,21,남자,학생,저위험
ABL생명,(무)ABL건강N더보장종합보험(간편심사형),10000000,10000000,25000,27000,35,남자,야간경비,저위험
ABL생명,(무)ABL건강N더보장종합보험(간편심사형),5000000,10000000,23000,26000,53,남자,고소작업자,고위험
ABL생명,(무)ABL건강N더보장종합보험(간편심사형),10000000,10000000,18000,17000,32,남자,판매직,저위험
ABL생명,(무)ABL건강N더보장종합보험(간편심사형),10000000,10000000,15000,12000,18,남자,학생,저위험
ABL생명,(무)ABL건강N더보장종합보험(일반심사형),1000000,1000000,3000,3000,74,남자,무직,저위험
ABL생명,(무)ABL건강N더보장종합보험(일반심사형),10000000,10000000,20000,19000,28,남자,개발자,저위험
ABL생명,(무)ABL건강N더보장종합보험(일반심사형),5000000,10000000,14000,16000,23,여자,법률사무,저위험
ABL생명,(무)ABL건강N더보장종합보험(일반심사형),10000000,10000000,15000,12000,67,여자,무직,저위험
