policy_id,min_age,max_age,min_coverage,max_coverage,special_notes
1,15,60,1000000,0,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납"
2,,,500000,5000000,"1. 가입나이 : 15세 ~ 80세(보험종목, 성별, 보험기간 및 납입기간별로 상이) 2. 가입한도 : 주계약 보험가입금액 50만원 ~ 500만원 (※ 특약의 가입한도는 회사의 별도로 정한 기준에 따라 적용) 3. 보험기간 : 100세만기 4. 납입기간 : 10, 15, 20년납 5. 보험종류 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%) 6. 보험가격지수 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 간편가입형(5년), 100세만기, 20년납, 월납, 주계약 가입금액 500만원 7. 보험료(주계약) 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 간편가입형(5년), 100세만기, 20년납, 월납, 주계약 가입금액 500만원 8. 특약 보험료 기준 : 특약 가입금액은 1천만원 또는 최대 가입금액(1천만원 미만인 경우) 기준 (비갱신형) : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 간편가입형(5년), 100세만기, 20년납, 월납 9. 참고사항 : 주계약의 경우 암사망/사망급부로 구성 보장범위지수 해당없음"
3,,,,,"1. 가입나이 : 만19~60세(납입기간에 따라 상이) 2. 보험기간 : 20년만기, 60, 70, 80, 100세만기 3. 납입기간 : 5, 10, 15, 20, 30년납, 60세납, 전기납 4. 납입주기 : 월납 5. 보험가격지수 기준 : 표준체형, 40세, 80세만기, 20년납, 주계약 가입금액 3,000만원 6. 보장범위지수 기준 : 표준체형, 남자 40세, 월납, 개별상품 위험보험료는 일반암 진단 1,000만원(최초1회한) 특정 고액치료비관련암 진단 1,000만원(최초1회한),  중증 갑상선암 진단 800만원(최초1회한),  특정 소액암 진단 600만원(최초1회한),  소액질병 진단 200만원(각각 최초1회한) 지급 기준으로 산출 7. 보험료 기준 : 표준체형, 40세, 주계약 가입금액 3,000만원, 80세만기, 20년납, 월납 *특약공시 : 부가가능한 특약 없음"
4,,,500000,5000000,"1. 가입나이 : 15세 ~ 80세(보험종목, 성별, 보험기간 및 납입기간별로 상이) 2. 가입한도 : 주계약 보험가입금액 50만원 ~ 500만원 (※ 특약의 가입한도는 회사의 별도로 정한 기준에 따라 적용) 3. 보험기간 : 100세만기 4. 납입기간 : 10, 15, 20년납 5. 보험종류 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%) 6. 보험가격지수 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 100세만기, 20년납, 월납, 주계약 가입금액 500만원 7. 보험료(주계약) 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 100세만기, 20년납, 월납, 주계약 가입금액 500만원 8. 특약 보험료 기준 : 특약 가입금액은 1천만원 또는 최대 가입금액(1천만원 미만인 경우) 기준 (비갱신형) : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 100세만기, 20년납, 월납 9. 참고사항 : 주계약의 경우 암사망/사망급부로 구성 보장범위지수 해당없음"
5,,,,,"1. 가입나이 : 만19~60세(납입기간에 따라 상이) 2. 보험기간 : 80, 100세만기 3. 납입기간 : 10, 15, 20, 30년납 4. 납입주기 : 월납 5. 보험가격지수 기준 : 40세, 80세만기, 20년납, 가입금액 3,000만원 ※	한화생명 e시그니처암보험 무배당의 보험가격지수에서 대표계약은 e암진단보장보험Ⅱ(비갱신형) 무배당으로 합니다. 6. 보장범위지수 기준 : 남자 40세, 월납, 개별상품 위험보험료는 일반암 진단 1,000만원(최초1회한), 소액암 진단 600만원(최초1회한), 소액질병 진단 200만원(각각 최초1회한) 지급 기준으로 산출 ※	한화생명 e시그니처암보험 무배당의 암진단 대표계약은 e암진단보장보험Ⅱ(비갱신형) 무배당으로 합니다. 7. 보험료 기준 : 40세, 모듈보험 모두 가입시, 선택한 모듈보험 목록 및 개별 모듈보험 산출 기준은 상품요약서 6. 해약환급금에 관한 사항 예시기준표 참고, 해약환급금 미지급형, 월납 *특약공시 : 부가가능한 특약 없음"
6,,,500000,5000000,"1. 가입나이 : 15세 ~ 80세(보험종목, 성별, 보험기간 및 납입기간별로 상이) 2. 가입한도 : 주계약 보험가입금액 50만원 ~ 500만원 (※ 특약의 가입한도는 회사의 별도로 정한 기준에 따라 적용) 3. 보험기간 : 90세, 100세만기 4. 납입기간 : 5, 7, 10, 15, 20,30년납 5. 보험종류 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%) 6. 보험가격지수 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 7. 보험료(주계약) 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 8. 참고사항 : 주계약의 경우 암사망/사망급부로 구성 보장범위지수 해당없음"
7,,,500000,5000000,"1. 가입나이 : 15세 ~ 80세(보험종목, 성별, 보험기간 및 납입기간별로 상이) 2. 가입한도 : 주계약 보험가입금액 50만원 ~ 500만원 (※ 특약의 가입한도는 회사의 별도로 정한 기준에 따라 적용) 3. 보험기간 : 90세, 100세만기 4. 납입기간 : 5, 7, 10, 15, 20, 30년납 5. 보험종류 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%) 6. 보험가격지수 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 7. 보험료(주계약) 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 8. 특약 보험료 기준 : 특약 가입금액은 1천만원 또는 최대 가입금액(1천만원 미만인 경우) 기준 (비갱신형) : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납  (갱신형) : 남/여 40세, 20년만기, 20년납, 월납 9. 참고사항 : 주계약의 경우 암사망/사망급부로 구성 보장범위지수 해당없음"
8,,,500000,5000000,"1. 가입나이 : 15세 ~ 80세(보험종목, 성별, 보험기간 및 납입기간별로 상이) 2. 가입한도 : 주계약 보험가입금액 50만원 ~ 500만원 (※ 특약의 가입한도는 회사의 별도로 정한 기준에 따라 적용) 3. 보험기간 : 90세, 100세만기 4. 납입기간 : 5, 7, 10, 15, 20,30년납 5. 보험종류 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%) 6. 보험가격지수 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 7. 보험료(주계약) 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 8. 특약 보험료 기준 : 특약 가입금액은 1천만원 또는 최대 가입금액(1천만원 미만인 경우) 기준 (비갱신형) : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 납/여 40세, 90세만기, 20년납, 월납  (갱신형) : 남/여 40세, 20년만기, 20년납, 월납 9. 참고사항 : 주계약의 경우 암사망/사망급부로 구성 보장범위지수 해당없음"
9,,,500000,5000000,"1. 가입나이 : 15세 ~ 80세(보험종목, 성별, 보험기간 및 납입기간별로 상이) 2. 가입한도 : 주계약 보험가입금액 50만원 ~ 500만원 (※ 특약의 가입한도는 회사의 별도로 정한 기준에 따라 적용) 3. 보험기간 : 90세, 100세만기 4. 납입기간 : 5, 7, 10, 15, 20,30년납 5. 보험종류 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%) 6. 보험가격지수 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 7. 보험료(주계약) 기준 : 해약환급금 미지급형(납입기간중 0%, 납입기간후 50%), 남/여 40세, 90세만기, 20년납, 월납, 주계약 가입금액 500만원 8. 참고사항 : 주계약의 경우 암사망/사망급부로 구성 보장범위지수 해당없음"
10,,,,,"1. 가입나이 : 만19~60세(상품별로 상이) 2. 보험기간 : 80세, 100세만기 3. 납입기간 : 10, 15, 20, 30년납 4. 납입주기 : 월납 5. 보험가격지수 기준 : 40세, 80세만기, 20년납, 가입금액 3,000만원 ※ 한화생명 간편가입 e시그니처암보험 무배당의 보험가격지수에서 대표계약은 간편가입 e암진단보장보험Ⅱ(비갱신형) 무배당으로 합니다. 6. 보장범위지수 기준 : 남자 40세, 월납, 암진단 보장범위지수의 경우 개별상품 위험보험료는 일반암 진단 1,000만원(최초1회한), 소액암 진단 600만원(최초1회한), 소액질병 진단 200만원(각각 최초1회한) 지급 기준으로 산출 ※ 한화생명 간편가입 e시그니처암보험 무배당의 암진단 대표계약은 간편가입 e암진단보장보험Ⅱ(비갱신형) 무배당으로 합니다. 7. 보험료 기준 : 40세, 80세만기 20년납, 해약환급금 미지급형, 4회차 이후 납입보험료 기준, 월납  주요상품 5개(암진단, 통합암, 암수술, 항암약물ㆍ방사선치료, 암직접치료통원) 선정하여 공시  *모듈보험 모두 가입에 대한 상세 내용은 상품요약서 6. 해약환급금에 관한 사항 예시기준표 참고 8. 확정이율 : 2.75% 9. 기타 특이사항 : 일부 모듈보험의 경우 암보장개시일까지 3개월 동안은 보험료가 발생하지 않습니다. 이는 보험료 할인이 아니며, 3개월동안 미납입한 보험료는 4회차 이후에 납입할 보험료에 반영됩니다. *특약공시 : 부가가능한 특약 없음"
