보험회사명,상품명,유지기간,납입보험료,계약자적립액,적립률,해약환급금,계약자적립액,적립률,해약환급금,최저보증이율,현재공시이율,평균공시이율,확정이율,사업비율,위험보장,확정이율,현재공시이율,최저보증이율,가입유형,유니버셜여부,납입방법,판매채널,판매일자,특이사항,대표번호
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),1,"50,000,000 원","49,844,238 원",99.69 %,"49,844,238 원","49,844,580 원",99.69 %,"49,844,580 원",-0.31 %,-0.31 %,-0.31 %,-,3.17 %,0.0008 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),3,"50,000,000 원","52,390,504 원",104.78 %,"52,390,504 원","52,391,509 원",104.78 %,"52,391,509 원",4.78 %,4.78 %,4.78 %,-,4.01 %,0.0023 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),5,"50,000,000 원","55,279,501 원",110.56 %,"55,279,501 원","55,281,227 원",110.56 %,"55,281,227 원",10.56 %,10.56 %,10.56 %,-,4.49 %,0.0038 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),10,"50,000,000 원","61,820,831 원",123.64 %,"61,820,831 원","61,825,605 원",123.65 %,"61,825,605 원",12.15 %,23.64 %,25.35 %,-,5.69 %,0.0113 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(연금강화형),1,"50,000,000 원","48,238,218 원",96.48 %,"48,238,218 원","48,238,560 원",96.48 %,"48,238,560 원",-3.52 %,-3.52 %,-3.43 %,-,6.29 %,0.0008 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 연금강화형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(연금강화형),3,"50,000,000 원","50,688,331 원",101.38 %,"50,688,331 원","50,689,336 원",101.38 %,"50,689,336 원",1.38 %,1.38 %,1.67 %,-,7.13 %,0.0023 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 연금강화형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(연금강화형),5,"50,000,000 원","58,325,419 원",116.65 %,"58,325,419 원","58,327,145 원",116.65 %,"58,327,145 원",16.65 %,16.65 %,17.18 %,-,7.61 %,0.0038 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 연금강화형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(연금강화형),10,"50,000,000 원","68,343,939 원",136.69 %,"68,343,939 원","68,348,712 원",136.70 %,"68,348,712 원",24.43 %,36.69 %,38.00 %,-,8.81 %,0.0113 %,-,2.47 %,5년초과 0.5%,거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 일시납보험료 1,000만원 이상 ※ 다만, 단체계약에 한하여 납입금액은 500만원 이상으로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 연금강화형, 거치형, 55세, 65세 연금개시, 일시납, 일시납보험료 5,000만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),1,"3,600,000 원","3,348,815 원",93.02 %,"3,096,815 원","3,348,937 원",93.03 %,"3,096,937 원",-6.98 %,-6.98 %,-6.98 %,-,8.43 %,0.0040 %,-,2.47 %,5년초과 0.5%,적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하) ※ 다만, 단체구성원을 확정 시킬 수 있고 보험계약의 일괄적인 관리가 가능한 동일단체에 소속된 5인 이상의 보험계약자가 일괄하여 체결하는 보험계약(이하 ‘단체계약’이라 한다.)에 한하여 구좌당 2만원 이상 100만원 이하로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 적립형, 40세, 60세 연금개시, 10년납, 월납, 보험료 30만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),3,"10,800,000 원","10,345,731 원",95.79 %,"10,177,731 원","10,346,107 원",95.80 %,"10,178,107 원",-4.21 %,-4.21 %,-4.21 %,-,8.43 %,0.0040 %,-,2.47 %,5년초과 0.5%,적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하) ※ 다만, 단체구성원을 확정 시킬 수 있고 보험계약의 일괄적인 관리가 가능한 동일단체에 소속된 5인 이상의 보험계약자가 일괄하여 체결하는 보험계약(이하 ‘단체계약’이라 한다.)에 한하여 구좌당 2만원 이상 100만원 이하로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 적립형, 40세, 60세 연금개시, 10년납, 월납, 보험료 30만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
