보험회사명,상품명,유지기간,납입보험료,계약자적립액,적립률,해약환급금,계약자적립액_1,적립률_1,해약환급금_1,최저보증이율,현재공시이율,평균공시이율,확정이율,사업비율,위험보장,확정이율_1,현재공시이율_1,최저보증이율_1,가입유형,유니버셜여부,납입방법,판매채널,판매일자,특이사항,대표번호
한화생명,한화생명 e재테크 저축보험 무배당,1.0,"3,600,000 원","3,622,724 원",100.63 %,"3,622,724 원","3,622,766 원",100.63 %,"3,622,766 원",0.34 %,0.63 %,0.78 %,-,0.69 %,0.0070 %,-,2.22 %,3년 이내 1.2% 3년 초과 5년 이내 0.75% 5년 초과 0.5%,적립,비유니버셜,월납,CM,2025-09-01,"1. 가입나이 : 만 19세 ~ 68세 (단, 2년납은 만 19세 ~ 63세) 2. 가입한도 : 구좌당 5만원 ~ 100만원 3. 보험기간 : 10년만기 4. 납입기간 : 2년납, 3년납, 5년납, 7년납, 전기납 5. 해약환급금 기준 : 40세, 10년만기, 전기납, 월납, 보험료 30만원, 적용이율 2.22% 기준",1588-6363
한화생명,한화생명 e재테크 저축보험 무배당,3.0,"10,800,000 원","10,928,745 원",101.19 %,"10,928,745 원","10,928,867 원",101.19 %,"10,928,867 원",0.45 %,1.19 %,1.67 %,-,2.54 %,0.0073 %,-,2.22 %,3년 이내 1.2% 3년 초과 5년 이내 0.75% 5년 초과 0.5%,적립,비유니버셜,월납,CM,2025-09-01,"1. 가입나이 : 만 19세 ~ 68세 (단, 2년납은 만 19세 ~ 63세) 2. 가입한도 : 구좌당 5만원 ~ 100만원 3. 보험기간 : 10년만기 4. 납입기간 : 2년납, 3년납, 5년납, 7년납, 전기납 5. 해약환급금 기준 : 40세, 10년만기, 전기납, 월납, 보험료 30만원, 적용이율 2.22% 기준",1588-6363
한화생명,한화생명 e재테크 저축보험 무배당,5.0,"18,000,000 원","18,448,227 원",102.49 %,"18,448,227 원","18,448,594 원",102.49 %,"18,448,594 원",0.32 %,2.49 %,3.66 %,-,3.36 %,0.0078 %,-,2.22 %,3년 이내 1.2% 3년 초과 5년 이내 0.75% 5년 초과 0.5%,적립,비유니버셜,월납,CM,2025-09-01,"1. 가입나이 : 만 19세 ~ 68세 (단, 2년납은 만 19세 ~ 63세) 2. 가입한도 : 구좌당 5만원 ~ 100만원 3. 보험기간 : 10년만기 4. 납입기간 : 2년납, 3년납, 5년납, 7년납, 전기납 5. 해약환급금 기준 : 40세, 10년만기, 전기납, 월납, 보험료 30만원, 적용이율 2.22% 기준",1588-6363
한화생명,한화생명 e재테크 저축보험 무배당,7.0,"25,200,000 원","26,303,925 원",104.38 %,"26,303,925 원","26,304,677 원",104.38 %,"26,304,677 원",0.22 %,4.38 %,6.21 %,-,3.72 %,0.0086 %,-,2.22 %,3년 이내 1.2% 3년 초과 5년 이내 0.75% 5년 초과 0.5%,적립,비유니버셜,월납,CM,2025-09-01,"1. 가입나이 : 만 19세 ~ 68세 (단, 2년납은 만 19세 ~ 63세) 2. 가입한도 : 구좌당 5만원 ~ 100만원 3. 보험기간 : 10년만기 4. 납입기간 : 2년납, 3년납, 5년납, 7년납, 전기납 5. 해약환급금 기준 : 40세, 10년만기, 전기납, 월납, 보험료 30만원, 적용이율 2.22% 기준",1588-6363
한화생명,한화생명 e재테크 저축보험 무배당,10.0,"36,000,000 원","38,753,433 원",107.65 %,"38,753,433 원","38,754,907 원",107.65 %,"38,754,907 원",0.34 %,7.65 %,10.50 %,-,3.98 %,0.0097 %,-,2.22 %,3년 이내 1.2% 3년 초과 5년 이내 0.75% 5년 초과 0.5%,적립,비유니버셜,월납,CM,2025-09-01,"1. 가입나이 : 만 19세 ~ 68세 (단, 2년납은 만 19세 ~ 63세) 2. 가입한도 : 구좌당 5만원 ~ 100만원 3. 보험기간 : 10년만기 4. 납입기간 : 2년납, 3년납, 5년납, 7년납, 전기납 5. 해약환급금 기준 : 40세, 10년만기, 전기납, 월납, 보험료 30만원, 적용이율 2.22% 기준",1588-6363
한화생명,한화생명 2030 목돈마련 디딤돌저축보험 무배당,1.0,"3,600,000 원","3,650,200 원",101.39 %,"3,650,200 원","3,650,674 원",101.41 %,"3,650,674 원",-,-,-,5.00 %,1.21 %,0.0573 %,5.00 %,-,-,적립,비유니버셜,월납,대면채널,2025-09-01,"1. 가입나이 : 만 15세~만 39세 2. 가입한도 : 10만원~50만원 3. 보험기간 : 5년만기 4. 보험료 및 해약환급금 기준: 30세, 5년만기, 전기납, 월납, 보험료 30만원, 적용이율 5.00% ※ 보험기간은 회사가 별도로 정한 기준에 따라 적용합니다.",1588-6363
한화생명,한화생명 2030 목돈마련 디딤돌저축보험 무배당,3.0,"10,800,000 원","11,267,131 원",104.33 %,"11,267,131 원","11,269,767 원",104.35 %,"11,269,767 원",-,-,-,5.00 %,3.33 %,0.0577 %,5.00 %,-,-,적립,비유니버셜,월납,대면채널,2025-09-01,"1. 가입나이 : 만 15세~만 39세 2. 가입한도 : 10만원~50만원 3. 보험기간 : 5년만기 4. 보험료 및 해약환급금 기준: 30세, 5년만기, 전기납, 월납, 보험료 30만원, 적용이율 5.00% ※ 보험기간은 회사가 별도로 정한 기준에 따라 적용합니다.",1588-6363
한화생명,한화생명 2030 목돈마련 디딤돌저축보험 무배당,5.0,"18,000,000 원","19,635,258 원",109.08 %,"19,635,258 원","19,640,703 원",109.12 %,"19,640,703 원",-,-,-,5.00 %,3.90 %,0.0579 %,5.00 %,-,-,적립,비유니버셜,월납,대면채널,2025-09-01,"1. 가입나이 : 만 15세~만 39세 2. 가입한도 : 10만원~50만원 3. 보험기간 : 5년만기 4. 보험료 및 해약환급금 기준: 30세, 5년만기, 전기납, 월납, 보험료 30만원, 적용이율 5.00% ※ 보험기간은 회사가 별도로 정한 기준에 따라 적용합니다.",1588-6363
ABL생명,(무)ABL인터넷보너스주는저축보험,1.0,"3,600,000 원","3,497,345 원",97.15 %,"3,497,345 원","3,497,940 원",97.17 %,"3,497,940 원",-3.36 %,-2.85 %,-2.59 %,-,3.97 %,0.0473 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 적립형, 40세, 10년만기, 전기납, 월납보험료 30만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,3.0,"10,800,000 원","10,729,375 원",99.35 %,"10,729,375 원","10,731,618 원",99.37 %,"10,731,618 원",-2.16 %,-0.65 %,0.10 %,-,3.97 %,0.0519 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 적립형, 40세, 10년만기, 전기납, 월납보험료 30만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,5.0,"18,000,000 원","18,289,771 원",101.61 %,"18,289,771 원","18,294,190 원",101.63 %,"18,294,190 원",-0.93 %,1.60 %,2.90 %,-,3.97 %,0.0568 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 적립형, 40세, 10년만기, 전기납, 월납보험료 30만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,7.0,"25,200,000 원","26,193,390 원",103.94 %,"26,193,390 원","26,200,588 원",103.97 %,"26,200,588 원",-0.11 %,3.94 %,5.80 %,-,3.97 %,0.0621 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 적립형, 40세, 10년만기, 전기납, 월납보험료 30만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,10.0,"36,000,000 원","39,453,160 원",109.59 %,"39,453,160 원","39,466,148 원",109.63 %,"39,466,148 원",3.26 %,9.59 %,12.38 %,-,3.13 %,0.0718 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,적립,비유니버셜,월납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 적립형, 40세, 10년만기, 전기납, 월납보험료 30만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,1.0,"50,000,000 원","49,940,638 원",99.88 %,"49,940,638 원","49,950,161 원",99.90 %,"49,950,161 원",-1.10 %,-0.11 %,0.37 %,-,2.30 %,0.0334 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,거치,비유니버셜,일시납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 거치형, 55세, 10년만기, 일시납보험료 5,000만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,3.0,"50,000,000 원","51,701,152 원",103.40 %,"51,701,152 원","51,732,824 원",103.47 %,"51,732,824 원",0.37 %,3.40 %,4.93 %,-,3.22 %,0.1085 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,거치,비유니버셜,일시납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 거치형, 55세, 10년만기, 일시납보험료 5,000만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,5.0,"50,000,000 원","53,737,178 원",107.47 %,"53,737,178 원","53,797,294 원",107.59 %,"53,797,294 원",2.27 %,7.47 %,10.15 %,-,3.75 %,0.1993 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,거치,비유니버셜,일시납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 거치형, 55세, 10년만기, 일시납보험료 5,000만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,7.0,"50,000,000 원","55,855,848 원",111.71 %,"55,855,848 원","55,952,433 원",111.90 %,"55,952,433 원",3.68 %,11.71 %,15.63 %,-,4.28 %,0.3098 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,거치,비유니버셜,일시납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 거치형, 55세, 10년만기, 일시납보험료 5,000만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷보너스주는저축보험,10.0,"50,000,000 원","60,693,403 원",121.39 %,"60,693,403 원","60,862,244 원",121.72 %,"60,862,244 원",8.80 %,21.38 %,27.39 %,-,5.07 %,0.5193 %,-,2.25 %,5년이내 1.25% 5년초과 10년이내 1.0% 10년초과 0.5%,거치,비유니버셜,일시납,CM,2024-04-01,"1. 가입나이 : 적립형 - 만 15세 ~ 70세 (단, 5년납은 69세까지), 거치형 - 만 15세 ~ 만 80세 2. 가입한도 : 적립형 - 기본보험료 3만원 이상 150만원 이하, 거치형 - 기본보험료 500만원 이상 1억원 미만 3. 보험기간 : 10년만기 4. 해지환급금 예시 기준 : 거치형, 55세, 10년만기, 일시납보험료 5,000만원, 2025년 9월 공시이율",0215886500
ABL생명,(무)ABL인터넷확정금리저축보험,1.0,"3,600,000 원","3,648,007 원",101.33 %,"3,648,007 원","3,648,117 원",101.34 %,"3,648,117 원",-,-,-,1.34 %,0.27 %,0.0080 %,3.00 %,-,-,적립,비유니버셜,월납,CM,2024-04-01,"1. 가입나이 : 만 15세 ~ 최대 70세 2. 가입한도 : 기본보험료 5만원 이상 30만원 이하 3. 보험기간 : 1년만기 4. 해약환급금 예시 기준 : 적립형, 40세, 1년만기, 전기납, 월납보험료 30만원 ※ 이 상품의 약관, 상품요약서 등 세부내용은 당사 홈페이지 상품공시실에서 확인하실 수 있습니다.",0215886500
삼성생명,삼성 스마트저축보험(2501)(무배당),1.0,"3,600,000 원","3,306,510 원",91.85 %,"2,686,790 원","3,307,090 원",91.86 %,"2,687,380 원",-8.81 %,-8.15 %,-7.95 %,-,9.26 %,0.0420 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",적립,비유니버셜,월납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 40세, 10년만기, 10년납, 월납, 기본보험료 30만원, 공시이율 연복리 2.34% □ 선택 기재사항 1. 보험료 납입기간 : 7,10,12,15,20년납 / 일시납  ※ 보험기간별로 납입기간은 차이가 있을 수 있습니다.",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),3.0,"10,800,000 원","10,153,100 원",94.01 %,"9,739,950 원","10,155,180 원",94.03 %,"9,742,040 원",-7.90 %,-5.99 %,-5.40 %,-,9.26 %,0.0453 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",적립,비유니버셜,월납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 40세, 10년만기, 10년납, 월납, 기본보험료 30만원, 공시이율 연복리 2.34% □ 선택 기재사항 1. 보험료 납입기간 : 7,10,12,15,20년납 / 일시납  ※ 보험기간별로 납입기간은 차이가 있을 수 있습니다.",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),5.0,"18,000,000 원","17,323,560 원",96.24 %,"17,116,990 원","17,327,220 원",96.26 %,"17,120,650 원",-6.98 %,-3.76 %,-2.75 %,-,9.26 %,0.0476 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",적립,비유니버셜,월납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 40세, 10년만기, 10년납, 월납, 기본보험료 30만원, 공시이율 연복리 2.34% □ 선택 기재사항 1. 보험료 납입기간 : 7,10,12,15,20년납 / 일시납  ※ 보험기간별로 납입기간은 차이가 있을 수 있습니다.",1588-3114
