interaction_id,timestamp,position,clicked,quoted,purchased,uw_decline_reason,user_id,policy_id,age,sex,smoker_flag,occupation_class,region_code,monthly_budget,insurance_company,product_name,product_type,coverage_amount,male_premium,female_premium,fixed_rate,current_rate,min_guaranteed_rate,surrender_value,renewal_cycle,universal,sales_channel,sales_date,contact_number
imp_000001,2025-08-11 11:42:54,1,0,0,0,,user_0806,35,35,F,0,0,43,103444,KDB생명,(무)KDB다이렉트 암보험(해약환급금미지급형Ⅲ),주계약,"1,000만원",10940,7470,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-04-01,1588-4040
imp_000002,2025-07-25 13:21:54,1,0,0,0,,user_0481,47,30,F,0,0,47,91932,KB라이프생명,KB 생활든든암보험 무배당(갱신형)(간편심사형),주계약,"3,000만원",17400,8640,2.50 %,-,-,순수보장,갱신형,비유니버셜,대면채널,2025-09-01,1588-3374
imp_000003,2025-07-21 17:40:54,9,1,0,0,,user_0855,79,47,M,0,1,46,133767,라이나생명,(무)라이나다이렉트암보험(갱신형),주계약,"3,000만원",10767,13386,2.25 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-01-01,15880058
imp_000004,2025-06-29 07:35:54,5,0,0,0,,user_0800,6,49,F,0,0,26,87473,한화생명,한화생명 간편가입 시그니처H보장보험 무배당,주계약,500만원,6800,4900,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2025-09-01,1588-6363
imp_000005,2025-08-27 11:30:54,1,0,0,0,,user_0984,70,51,F,0,1,45,57828,라이나생명,(무)뉴실버암보험(갱신형),주계약,"3,000만원",101700,51300,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,15880058
imp_000006,2025-07-17 12:45:54,3,0,0,0,,user_0811,12,40,F,0,0,41,101892,ABL생명,무배당 ABL인터넷나를위한5대미니암보험,주계약,"1,000만원",956,713,2.50 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,0215886500
imp_000007,2025-07-26 12:33:54,7,0,0,0,,user_0176,57,40,M,0,1,47,155571,신한라이프생명,"신한(간편가입)바로케어받는암보험(무배당, 갱신형)",주계약,"3,000만원",21960,23280,2.25 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-09-01,1588-5580
imp_000008,2025-06-21 14:20:54,5,0,0,0,,user_0370,53,69,F,0,0,47,43877,KB라이프생명,KB toss착한암보험 무배당,주계약,"3,000만원",27600,15600,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000009,2025-08-11 11:21:54,1,0,0,0,,user_0850,69,66,F,0,1,42,30964,라이나생명,무배당 라이나초간편암보험(갱신형),주계약,"3,000만원",20400,17700,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,15880058
imp_000010,2025-07-03 13:33:54,1,0,0,0,,user_0378,65,51,M,0,0,42,63056,푸본현대생명,ZERO 걱정없는 암보험 무배당/갱신형(2404),주계약,"3,000만원",13800,9000,2.60 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-01-01,1577-3311
imp_000011,2025-07-30 15:51:54,7,0,0,0,,user_0436,50,52,M,1,0,48,41020,KB라이프생명,KB 계획이다있는여성암보험 무배당(해약환급금 미지급형),주계약,"3,000만원",0,18480,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000012,2025-06-25 19:06:54,2,0,0,0,,user_0588,72,31,F,1,0,11,81404,라이나생명,무배당뉴스타트플러스암보험(갱신형)_2형(일반형),주계약,"3,000만원",10200,12600,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-01-01,15880058
imp_000013,2025-08-01 08:06:54,2,1,0,0,,user_0302,38,43,M,1,0,11,33575,DB생명,(무)e로운 암보험(갱신형)(2404),주계약,"3,000만원",14700,20100,3.00 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-09-01,1588-3131
imp_000014,2025-08-14 08:54:54,4,0,0,0,,user_0027,64,45,M,1,1,42,76531,푸본현대생명,ZERO 나를위한 암보험 무배당 갱신형(2404),주계약,"2,000만원",47600,53200,2.60 %,-,-,만기환급,갱신형,비유니버셜,TM,2024-04-01,1577-3311
imp_000015,2025-06-29 15:07:54,2,1,0,0,,user_0913,34,45,M,0,0,48,58444,KDB생명,(무)KDB다이렉트 암보험(갱신형),주계약,"1,000만원",3190,3280,2.50 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-04-01,1588-4040
imp_000016,2025-09-13 08:15:54,3,0,0,0,,user_0538,66,25,M,0,0,29,50577,푸본현대생명,ZERO 걱정없는 암보험 간편가입 무배당/갱신형(2404),주계약,"3,000만원",19500,12000,2.60 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-01-01,1577-3311
imp_000017,2025-08-27 12:35:54,5,0,0,0,,user_0598,16,64,M,1,0,47,55292,삼성생명,"삼성 인터넷암보험(2404)(갱신형,무배당)",주계약,"2,500만원",12750,15500,2.00 %,-,-,순수보장,갱신형,비유니버셜,CM,2024-04-01,1588-3114
imp_000018,2025-06-28 14:09:54,2,0,0,0,,user_0352,81,56,F,0,0,36,94109,AIA생명,(무) AIA 건강+ 암보험 (갱신형) 2형,주계약,"3,000만원",19800,19500,2.25 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-09-01,1588-9898
imp_000019,2025-07-16 10:50:54,3,0,0,0,,user_0555,34,57,M,1,0,31,100340,KDB생명,(무)KDB다이렉트 암보험(갱신형),주계약,"1,000만원",3190,3280,2.50 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-04-01,1588-4040
imp_000020,2025-07-28 09:56:54,2,1,0,0,,user_0899,86,40,F,0,1,29,157843,NH농협생명,"NHe편한암보험(갱신형,비갱신형,무배당)_(비갱신형, 일반가입형)",주계약,"3,000만원",89100,54600,2.50 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-01-01,1544-4000
imp_000021,2025-08-23 14:40:54,3,0,0,0,,user_0834,35,27,M,0,1,11,66187,KDB생명,(무)KDB다이렉트 암보험(해약환급금미지급형Ⅲ),주계약,"1,000만원",10940,7470,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-04-01,1588-4040
imp_000022,2025-06-25 14:56:54,2,0,0,0,,user_0806,49,35,F,0,0,43,103444,KB라이프생명,KB 계획이다있는여성암보험 무배당,주계약,"3,000만원",0,18810,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000023,2025-08-13 09:05:54,5,0,0,0,,user_0040,82,62,F,0,0,49,87946,AIA생명,(무) 안심되는 초간편 건강보험 (갱신형) 1형(암보장형),주계약,"3,000만원",18300,21900,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-09-01,1588-9898
imp_000024,2025-07-17 17:47:54,2,0,0,0,,user_0522,87,52,M,0,0,41,101896,NH농협생명,"NHe편한암보험(갱신형,비갱신형,무배당)_(갱신형, 일반가입형)",주계약,"3,000만원",21000,17700,2.50 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-01-01,1544-4000
imp_000025,2025-09-10 14:33:54,2,1,0,0,,user_0405,31,41,M,0,1,41,47992,미래에셋생명,온라인 더 잘고른 미니암보험 무배당,주계약,"1,000만원 (단, [여성형]은 500만원)",1796,3038,2.00 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000026,2025-09-02 17:33:54,2,1,0,0,,user_0167,44,42,F,0,1,46,92316,메트라이프생명,무배당 메트라이프 폐암및후두암진단보험,주계약,500만원,1050,1100,2.30 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,1588-9600
imp_000027,2025-06-29 13:04:54,1,0,0,0,,user_0152,28,49,M,0,2,11,60859,미래에셋생명,온라인 암보험 무배당 [갱신형],주계약,"3,000만원",6450,7650,2.25 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000028,2025-07-10 10:37:54,3,0,0,0,,user_0154,68,32,F,0,2,30,131905,라이나생명,(무)첫날부터라이나암보험(갱신형),주계약,"1,000만원",6500,6600,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-01-01,15880058
