interaction_id,user_id,policy_id,timestamp,position
imp_000001,user_0806,35,2025-08-11 11:42:54,1
imp_000002,user_0481,47,2025-07-25 13:21:54,1
imp_000003,user_0855,79,2025-07-21 17:40:54,9
imp_000004,user_0800,6,2025-06-29 07:35:54,5
imp_000005,user_0984,70,2025-08-27 11:30:54,1
imp_000006,user_0811,12,2025-07-17 12:45:54,3
imp_000007,user_0176,57,2025-07-26 12:33:54,7
imp_000008,user_0370,53,2025-06-21 14:20:54,5
imp_000009,user_0850,69,2025-08-11 11:21:54,1
imp_000010,user_0378,65,2025-07-03 13:33:54,1
imp_000011,user_0436,50,2025-07-30 15:51:54,7
imp_000012,user_0588,72,2025-06-25 19:06:54,2
imp_000013,user_0302,38,2025-08-01 08:06:54,2
imp_000014,user_0027,64,2025-08-14 08:54:54,4
imp_000015,user_0913,34,2025-06-29 15:07:54,2
imp_000016,user_0538,66,2025-09-13 08:15:54,3
imp_000017,user_0598,16,2025-08-27 12:35:54,5
imp_000018,user_0352,81,2025-06-28 14:09:54,2
imp_000019,user_0555,34,2025-07-16 10:50:54,3
imp_000020,user_0899,86,2025-07-28 09:56:54,2
imp_000021,user_0834,35,2025-08-23 14:40:54,3
imp_000022,user_0806,49,2025-06-25 14:56:54,2
imp_000023,user_0040,82,2025-08-13 09:05:54,5
imp_000024,user_0522,87,2025-07-17 17:47:54,2
imp_000025,user_0405,31,2025-09-10 14:33:54,2
imp_000026,user_0167,44,2025-09-02 17:33:54,2
imp_000027,user_0152,28,2025-06-29 13:04:54,1
imp_000028,user_0154,68,2025-07-10 10:37:54,3
imp_000029,user_0426,88,2025-08-31 11:50:54,5
imp_000030,user_0129,42,2025-08-18 11:03:54,3
imp_000031,user_0462,17,2025-08-03 15:42:54,2
imp_000032,user_0265,31,2025-09-13 14:02:54,1
imp_000033,user_0974,34,2025-09-08 10:21:54,3
imp_000034,user_0292,77,2025-07-19 15:44:54,1
imp_000035,user_0518,55,2025-06-21 11:03:54,1
imp_000036,user_0917,44,2025-07-16 15:09:54,3
imp_000037,user_0239,79,2025-07-18 12:54:54,2
imp_000038,user_0274,17,2025-09-13 17:26:54,1
imp_000039,user_0301,79,2025-08-21 19:09:54,4
imp_000040,user_0234,36,2025-08-29 07:44:54,1
imp_000041,user_0494,52,2025-08-29 12:12:54,2
imp_000042,user_0868,53,2025-07-17 09:19:54,1
imp_000043,user_0807,45,2025-06-23 09:53:54,1
imp_000044,user_0805,24,2025-08-08 15:50:54,2
imp_000045,user_0785,5,2025-07-15 07:09:54,2
imp_000046,user_0602,33,2025-07-11 09:31:54,1
imp_000047,user_0535,67,2025-09-16 13:43:54,2
imp_000048,user_0821,24,2025-07-25 14:53:54,6
imp_000049,user_0554,46,2025-08-21 16:23:54,1
imp_000050,user_0453,19,2025-08-10 16:49:54,3
imp_000051,user_0662,42,2025-09-12 17:29:54,1
imp_000052,user_0160,94,2025-08-15 15:07:54,5
imp_000053,user_0717,40,2025-06-22 16:34:54,7
imp_000054,user_0865,79,2025-07-28 11:56:54,3
imp_000055,user_0017,33,2025-09-13 09:18:54,5
imp_000056,user_0135,44,2025-07-03 14:55:54,1
imp_000057,user_0519,31,2025-06-26 16:13:54,2
imp_000058,user_0919,24,2025-08-08 13:33:54,7
imp_000059,user_0373,24,2025-08-12 15:19:54,3
imp_000060,user_0516,67,2025-07-02 09:55:54,4
imp_000061,user_0379,58,2025-09-03 17:35:54,3
imp_000062,user_0090,44,2025-07-22 19:10:54,1
imp_000063,user_0973,17,2025-08-18 09:28:54,3
imp_000064,user_0379,12,2025-07-24 18:28:54,1
imp_000065,user_0163,48,2025-07-09 11:24:54,1
imp_000066,user_0643,10,2025-08-21 07:26:54,4
imp_000067,user_0693,87,2025-07-27 14:02:54,3
imp_000068,user_0549,31,2025-07-10 13:24:54,5
imp_000069,user_0410,49,2025-07-20 16:49:54,2
imp_000070,user_0308,2,2025-08-14 06:57:54,1
imp_000071,user_0036,65,2025-06-25 19:18:54,1
imp_000072,user_0167,72,2025-09-11 18:38:54,1
imp_000073,user_0303,43,2025-07-11 09:53:54,1
imp_000074,user_0617,8,2025-07-06 09:50:54,1
imp_000075,user_0485,28,2025-07-17 07:07:54,1
imp_000076,user_0229,11,2025-08-04 13:19:54,8
imp_000077,user_0941,80,2025-07-16 08:14:54,9
imp_000078,user_0847,72,2025-08-30 10:41:54,5
imp_000079,user_0913,12,2025-07-11 15:04:54,1
imp_000080,user_0358,48,2025-07-02 16:07:54,4
imp_000081,user_0001,7,2025-08-16 13:32:54,3
imp_000082,user_0457,31,2025-08-04 16:12:54,2
imp_000083,user_0900,50,2025-07-26 09:49:54,1
imp_000084,user_0977,31,2025-09-07 12:35:54,1
imp_000085,user_0100,52,2025-08-05 17:58:54,1
imp_000086,user_0203,12,2025-07-09 11:20:54,4
imp_000087,user_0998,7,2025-06-26 16:57:54,1
imp_000088,user_0722,16,2025-08-04 09:45:54,3
imp_000089,user_0362,7,2025-07-23 16:08:54,7
imp_000090,user_0948,73,2025-08-27 10:32:54,4
imp_000091,user_0242,65,2025-08-14 08:09:54,3
imp_000092,user_0095,17,2025-08-21 08:28:54,1
imp_000093,user_0850,30,2025-09-09 17:23:54,5
imp_000094,user_0900,31,2025-08-18 06:49:54,3
imp_000095,user_0784,71,2025-09-06 11:27:54,1
imp_000096,user_0485,48,2025-08-31 13:59:54,2
imp_000097,user_0721,34,2025-08-18 08:33:54,3
imp_000098,user_0161,51,2025-07-31 16:02:54,4
imp_000099,user_0533,19,2025-09-05 14:01:54,2
imp_000100,user_0818,81,2025-08-19 18:18:54,5
imp_000101,user_0380,58,2025-07-13 15:51:54,1
imp_000102,user_0569,72,2025-07-23 19:06:54,5
imp_000103,user_0352,18,2025-08-23 17:42:54,2
imp_000104,user_0610,45,2025-09-09 18:30:54,1
imp_000105,user_0074,87,2025-08-10 08:06:54,3
imp_000106,user_0709,12,2025-07-25 10:00:54,4
imp_000107,user_0160,27,2025-07-13 08:13:54,1
imp_000108,user_0793,80,2025-07-09 19:14:54,4
imp_000109,user_0144,83,2025-07-23 13:59:54,8
imp_000110,user_0826,79,2025-08-22 13:54:54,1
imp_000111,user_0580,30,2025-07-01 15:45:54,9
imp_000112,user_0274,80,2025-06-28 12:51:54,2
imp_000113,user_0562,47,2025-07-17 13:21:54,1
imp_000114,user_0520,90,2025-09-15 19:18:54,3
imp_000115,user_0869,51,2025-06-21 10:42:54,3
imp_000116,user_0268,53,2025-08-28 16:53:54,3
imp_000117,user_0520,12,2025-07-22 08:13:54,3
imp_000118,user_0871,41,2025-08-30 15:52:54,1
imp_000119,user_0840,66,2025-08-10 18:53:54,9
imp_000120,user_0233,36,2025-09-05 13:49:54,2
imp_000121,user_0900,88,2025-07-16 18:59:54,1
imp_000122,user_0969,67,2025-09-11 12:35:54,2
imp_000123,user_0320,10,2025-07-16 18:34:54,4
imp_000124,user_0777,12,2025-07-11 08:46:54,4
imp_000125,user_0871,32,2025-08-03 18:49:54,2
imp_000126,user_0899,42,2025-09-13 16:24:54,4
imp_000127,user_0550,84,2025-06-23 17:32:54,1
imp_000128,user_0324,51,2025-07-19 18:32:54,10
imp_000129,user_0772,12,2025-07-03 08:52:54,1
imp_000130,user_0774,96,2025-08-09 10:19:54,7
imp_000131,user_0634,72,2025-06-22 08:56:54,1
imp_000132,user_0560,1,2025-07-20 18:34:54,1
imp_000133,user_0808,50,2025-07-17 07:54:54,10
imp_000134,user_0224,50,2025-06-28 09:53:54,3
imp_000135,user_0069,24,2025-07-11 06:50:54,2
imp_000136,user_0265,3,2025-08-26 11:39:54,1
imp_000137,user_0612,83,2025-07-26 11:35:54,10
imp_000138,user_0456,84,2025-07-30 16:21:54,6
imp_000139,user_0305,18,2025-07-13 12:23:54,4
imp_000140,user_0465,87,2025-07-01 18:20:54,1
imp_000141,user_0334,84,2025-09-18 17:35:54,8
imp_000142,user_0782,38,2025-07-24 12:55:54,4
imp_000143,user_0925,93,2025-09-18 18:08:54,1
imp_000144,user_0890,43,2025-07-28 18:12:54,9
imp_000145,user_0701,63,2025-08-18 17:50:54,4
imp_000146,user_0928,43,2025-07-09 09:01:54,3
imp_000147,user_0834,68,2025-07-21 18:15:54,4
imp_000148,user_0208,61,2025-06-27 13:20:54,1
imp_000149,user_0616,44,2025-09-09 13:29:54,3
imp_000150,user_0214,12,2025-08-20 09:31:54,1
imp_000151,user_0345,77,2025-09-15 10:21:54,4
imp_000152,user_0657,10,2025-07-13 09:20:54,3
imp_000153,user_0681,49,2025-08-31 06:56:54,2
imp_000154,user_0573,47,2025-08-01 14:05:54,1
imp_000155,user_0600,45,2025-06-23 09:21:54,3
imp_000156,user_0905,12,2025-07-13 12:58:54,6
imp_000157,user_0060,51,2025-07-30 13:24:54,4
imp_000158,user_0670,12,2025-07-06 09:43:54,3
imp_000159,user_0800,54,2025-07-13 18:26:54,8
imp_000160,user_0380,47,2025-08-14 15:49:54,2
imp_000161,user_0092,12,2025-08-23 15:49:54,1
imp_000162,user_0463,81,2025-09-14 17:48:54,3
imp_000163,user_0784,83,2025-07-14 12:08:54,1
imp_000164,user_0990,3,2025-07-03 09:58:54,8
imp_000165,user_0289,48,2025-07-02 17:36:54,1
imp_000166,user_0692,92,2025-06-24 08:16:54,1
imp_000167,user_0362,40,2025-09-05 18:59:54,1
imp_000168,user_0699,48,2025-07-22 11:00:54,1
imp_000169,user_0618,31,2025-06-26 07:27:54,2
imp_000170,user_0151,6,2025-08-14 17:00:54,1
imp_000171,user_0121,20,2025-08-28 12:49:54,5
imp_000172,user_0739,50,2025-09-05 12:39:54,1
imp_000173,user_0272,23,2025-07-22 12:53:54,6
imp_000174,user_0655,5,2025-09-10 12:15:54,3
imp_000175,user_0242,18,2025-07-02 14:45:54,8
imp_000176,user_0639,44,2025-07-31 14:19:54,3
imp_000177,user_0341,5,2025-08-15 12:47:54,2
imp_000178,user_0475,65,2025-07-19 10:18:54,1
imp_000179,user_0927,42,2025-07-24 15:51:54,4
imp_000180,user_0182,51,2025-07-10 11:02:54,1
imp_000181,user_0640,50,2025-08-04 16:13:54,1
imp_000182,user_0971,49,2025-07-26 07:14:54,3
imp_000183,user_0960,84,2025-07-28 15:21:54,3
imp_000184,user_0230,12,2025-08-31 07:24:54,1
imp_000185,user_0715,66,2025-09-14 18:15:54,1
imp_000186,user_0365,43,2025-08-14 11:29:54,1
imp_000187,user_0026,65,2025-08-11 07:38:54,1
imp_000188,user_0707,87,2025-09-01 07:41:54,3
imp_000189,user_0096,44,2025-09-05 13:48:54,8
imp_000190,user_0065,46,2025-07-21 06:42:54,3
imp_000191,user_0895,93,2025-07-06 18:57:54,2
imp_000192,user_0808,49,2025-07-16 18:39:54,1
imp_000193,user_0337,92,2025-07-17 16:06:54,2
imp_000194,user_0578,57,2025-09-04 06:39:54,3
imp_000195,user_0437,30,2025-08-12 06:33:54,8
imp_000196,user_0590,27,2025-06-30 07:03:54,3
imp_000197,user_0003,87,2025-08-20 06:21:54,2
imp_000198,user_0905,16,2025-07-14 19:13:54,1
imp_000199,user_0564,28,2025-07-02 17:17:54,3
imp_000200,user_0482,12,2025-08-01 13:56:54,6
imp_000201,user_0013,93,2025-06-23 16:01:54,2
imp_000202,user_0871,18,2025-08-26 10:05:54,1
imp_000203,user_0304,19,2025-07-07 07:30:54,3
imp_000204,user_0279,74,2025-08-03 19:06:54,2
imp_000205,user_0338,86,2025-08-16 14:28:54,5
imp_000206,user_0120,48,2025-08-04 14:57:54,3
imp_000207,user_0230,69,2025-08-19 11:28:54,3
imp_000208,user_0896,3,2025-07-20 19:12:54,3
imp_000209,user_0037,27,2025-08-13 12:10:54,7
imp_000210,user_0610,30,2025-06-29 17:43:54,5
imp_000211,user_0520,24,2025-07-22 18:15:54,2
imp_000212,user_0765,50,2025-09-04 17:02:54,1
imp_000213,user_0682,16,2025-07-19 13:08:54,2
imp_000214,user_0719,12,2025-07-27 09:34:54,3
imp_000215,user_0272,12,2025-07-07 16:47:54,1
imp_000216,user_0742,28,2025-08-06 08:28:54,1
imp_000217,user_0121,32,2025-08-06 17:31:54,3
imp_000218,user_0290,84,2025-09-05 14:31:54,1
imp_000219,user_0466,83,2025-09-07 08:20:54,2
imp_000220,user_0555,16,2025-08-04 18:54:54,10
imp_000221,user_0739,43,2025-08-11 17:33:54,1
imp_000222,user_0740,82,2025-06-21 19:02:54,5
imp_000223,user_0180,12,2025-09-06 17:38:54,1
imp_000224,user_0335,70,2025-09-10 09:58:54,1
imp_000225,user_0418,12,2025-07-07 19:12:54,6
imp_000226,user_0872,78,2025-08-23 06:36:54,1
imp_000227,user_0351,48,2025-09-13 19:00:54,1
imp_000228,user_0532,65,2025-07-01 16:12:54,5
imp_000229,user_0329,84,2025-08-30 07:04:54,3
imp_000230,user_0562,49,2025-07-14 18:08:54,6
imp_000231,user_0877,63,2025-08-20 15:32:54,6
imp_000232,user_0374,18,2025-07-09 18:15:54,1
imp_000233,user_0107,93,2025-07-22 18:15:54,7
imp_000234,user_0672,2,2025-07-12 16:29:54,5
imp_000235,user_0741,34,2025-09-08 17:38:54,2
imp_000236,user_0483,53,2025-07-31 13:57:54,9
imp_000237,user_0238,45,2025-08-13 14:24:54,3
imp_000238,user_0489,48,2025-09-18 13:20:54,1
imp_000239,user_0809,79,2025-07-27 16:06:54,2
imp_000240,user_0172,44,2025-08-12 16:07:54,5
imp_000241,user_0361,41,2025-08-16 14:59:54,3
imp_000242,user_0818,72,2025-08-30 06:19:54,2
imp_000243,user_0402,65,2025-07-25 13:30:54,6
imp_000244,user_0626,3,2025-08-21 14:46:54,1
imp_000245,user_0456,18,2025-06-30 18:24:54,6
imp_000246,user_0640,77,2025-07-27 11:18:54,4
imp_000247,user_0347,36,2025-08-24 10:45:54,6
imp_000248,user_0440,45,2025-06-21 15:43:54,1
imp_000249,user_0332,76,2025-06-22 12:48:54,5
imp_000250,user_0693,49,2025-09-13 10:44:54,5
imp_000251,user_0493,74,2025-09-05 12:47:54,2
imp_000252,user_0069,28,2025-09-12 10:36:54,6
imp_000253,user_0486,60,2025-07-17 07:04:54,4
imp_000254,user_0714,23,2025-07-25 12:28:54,8
imp_000255,user_0674,65,2025-07-06 17:48:54,6
imp_000256,user_0341,6,2025-08-29 17:15:54,4
imp_000257,user_0566,38,2025-07-20 10:44:54,1
imp_000258,user_0458,91,2025-06-28 15:35:54,3
imp_000259,user_0828,5,2025-07-06 06:24:54,2
imp_000260,user_0570,75,2025-06-21 18:22:54,6
imp_000261,user_0487,34,2025-06-25 13:02:54,4
imp_000262,user_0640,71,2025-08-05 14:51:54,1
imp_000263,user_0358,50,2025-08-14 16:46:54,8
imp_000264,user_0643,53,2025-07-30 19:07:54,4
imp_000265,user_0307,2,2025-07-01 10:53:54,1
imp_000266,user_0262,88,2025-08-27 13:33:54,3
imp_000267,user_0560,6,2025-08-25 07:56:54,5
imp_000268,user_0647,87,2025-06-22 10:06:54,1
imp_000269,user_0120,35,2025-07-21 08:15:54,1
imp_000270,user_0878,54,2025-07-27 08:00:54,6
imp_000271,user_0226,11,2025-07-22 13:30:54,2
imp_000272,user_0433,87,2025-08-31 13:52:54,5
imp_000273,user_0995,43,2025-07-14 19:05:54,1
imp_000274,user_0305,13,2025-07-29 18:03:54,3
imp_000275,user_0622,44,2025-06-25 13:37:54,1
imp_000276,user_0993,87,2025-07-19 10:57:54,5
imp_000277,user_0787,73,2025-06-22 09:07:54,1
imp_000278,user_0184,81,2025-06-21 13:11:54,2
imp_000279,user_0790,36,2025-06-21 08:48:54,1
imp_000280,user_0686,84,2025-08-29 09:02:54,1
imp_000281,user_0644,82,2025-08-14 08:12:54,4
imp_000282,user_0289,9,2025-08-01 11:06:54,8
imp_000283,user_0201,28,2025-07-18 09:53:54,5
imp_000284,user_0414,12,2025-08-02 06:39:54,1
imp_000285,user_0790,44,2025-08-09 17:33:54,5
imp_000286,user_0454,23,2025-06-21 06:33:54,5
imp_000287,user_0996,12,2025-09-10 12:50:54,5
imp_000288,user_0877,83,2025-06-28 15:26:54,6
imp_000289,user_0419,44,2025-08-26 16:57:54,3
imp_000290,user_0305,24,2025-09-18 06:31:54,1
imp_000291,user_0272,31,2025-08-19 15:57:54,2
imp_000292,user_0102,66,2025-09-01 07:02:54,2
imp_000293,user_0464,56,2025-06-21 07:55:54,1
imp_000294,user_0388,50,2025-07-21 16:39:54,1
imp_000295,user_0009,45,2025-06-22 15:54:54,8
imp_000296,user_0255,24,2025-07-07 08:20:54,2
imp_000297,user_0356,94,2025-08-29 13:17:54,3
imp_000298,user_0913,96,2025-09-06 10:40:54,7
imp_000299,user_0901,12,2025-06-21 09:56:54,3
imp_000300,user_0289,12,2025-09-10 07:03:54,1
imp_000301,user_0883,23,2025-07-24 15:33:54,1
imp_000302,user_0812,59,2025-09-15 13:41:54,1
imp_000303,user_0863,58,2025-08-12 09:01:54,9
imp_000304,user_0683,16,2025-09-08 06:31:54,8
imp_000305,user_0724,82,2025-09-12 09:27:54,1
imp_000306,user_0601,12,2025-08-11 13:23:54,5
imp_000307,user_0139,51,2025-07-30 13:37:54,7
imp_000308,user_0632,83,2025-07-13 09:14:54,1
