interaction_id,user_id,policy_id,clicked,quoted,purchased,uw_decline_reason
imp_000001,user_0806,35,0,0,0,
imp_000002,user_0481,47,0,0,0,
imp_000003,user_0855,79,1,0,0,
imp_000004,user_0800,6,0,0,0,
imp_000005,user_0984,70,0,0,0,
imp_000006,user_0811,12,0,0,0,
imp_000007,user_0176,57,0,0,0,
imp_000008,user_0370,53,0,0,0,
imp_000009,user_0850,69,0,0,0,
imp_000010,user_0378,65,0,0,0,
imp_000011,user_0436,50,0,0,0,
imp_000012,user_0588,72,0,0,0,
imp_000013,user_0302,38,1,0,0,
imp_000014,user_0027,64,0,0,0,
imp_000015,user_0913,34,1,0,0,
imp_000016,user_0538,66,0,0,0,
imp_000017,user_0598,16,0,0,0,
imp_000018,user_0352,81,0,0,0,
imp_000019,user_0555,34,0,0,0,
imp_000020,user_0899,86,1,0,0,
imp_000021,user_0834,35,0,0,0,
imp_000022,user_0806,49,0,0,0,
imp_000023,user_0040,82,0,0,0,
imp_000024,user_0522,87,0,0,0,
imp_000025,user_0405,31,1,0,0,
imp_000026,user_0167,44,1,0,0,
imp_000027,user_0152,28,0,0,0,
imp_000028,user_0154,68,0,0,0,
imp_000029,user_0426,88,0,0,0,
imp_000030,user_0129,42,0,0,0,
imp_000031,user_0462,17,1,0,0,
imp_000032,user_0265,31,1,0,0,
imp_000033,user_0974,34,0,0,0,
imp_000034,user_0292,77,0,0,0,
imp_000035,user_0518,55,0,0,0,
imp_000036,user_0917,44,0,0,0,
imp_000037,user_0239,79,0,0,0,
imp_000038,user_0274,17,0,0,0,
imp_000039,user_0301,79,1,0,0,
imp_000040,user_0234,36,1,0,0,
imp_000041,user_0494,52,0,0,0,
imp_000042,user_0868,53,0,0,0,
imp_000043,user_0807,45,1,0,0,
imp_000044,user_0805,24,0,0,0,
imp_000045,user_0785,5,0,0,0,
imp_000046,user_0602,33,1,1,0,
imp_000047,user_0535,67,0,0,0,
imp_000048,user_0821,24,0,0,0,
imp_000049,user_0554,46,0,0,0,
imp_000050,user_0453,19,0,0,0,
imp_000051,user_0662,42,0,0,0,
imp_000052,user_0160,94,0,0,0,
imp_000053,user_0717,40,0,0,0,
imp_000054,user_0865,79,0,0,0,
imp_000055,user_0017,33,0,0,0,
imp_000056,user_0135,44,0,0,0,
imp_000057,user_0519,31,0,0,0,
imp_000058,user_0919,24,1,0,0,
imp_000059,user_0373,24,0,0,0,
imp_000060,user_0516,67,0,0,0,
imp_000061,user_0379,58,0,0,0,
imp_000062,user_0090,44,1,0,0,
imp_000063,user_0973,17,1,0,0,
imp_000064,user_0379,12,0,0,0,
imp_000065,user_0163,48,1,0,0,
imp_000066,user_0643,10,0,0,0,
imp_000067,user_0693,87,0,0,0,
imp_000068,user_0549,31,1,0,0,
imp_000069,user_0410,49,0,0,0,
imp_000070,user_0308,2,1,1,1,
imp_000071,user_0036,65,0,0,0,
imp_000072,user_0167,72,0,0,0,
imp_000073,user_0303,43,1,0,0,
imp_000074,user_0617,8,0,0,0,
imp_000075,user_0485,28,1,0,0,
imp_000076,user_0229,11,0,0,0,
imp_000077,user_0941,80,0,0,0,
imp_000078,user_0847,72,0,0,0,
imp_000079,user_0913,12,0,0,0,
imp_000080,user_0358,48,0,0,0,
imp_000081,user_0001,7,0,0,0,
imp_000082,user_0457,31,0,0,0,
imp_000083,user_0900,50,0,0,0,
imp_000084,user_0977,31,1,0,0,
imp_000085,user_0100,52,0,0,0,
imp_000086,user_0203,12,0,0,0,
imp_000087,user_0998,7,0,0,0,
imp_000088,user_0722,16,1,0,0,
imp_000089,user_0362,7,0,0,0,
imp_000090,user_0948,73,0,0,0,
imp_000091,user_0242,65,0,0,0,
imp_000092,user_0095,17,0,0,0,
imp_000093,user_0850,30,0,0,0,
imp_000094,user_0900,31,0,0,0,
imp_000095,user_0784,71,0,0,0,
imp_000096,user_0485,48,0,0,0,
imp_000097,user_0721,34,0,0,0,
imp_000098,user_0161,51,0,0,0,
imp_000099,user_0533,19,0,0,0,
imp_000100,user_0818,81,0,0,0,
imp_000101,user_0380,58,0,0,0,
imp_000102,user_0569,72,0,0,0,
imp_000103,user_0352,18,0,0,0,
imp_000104,user_0610,45,0,0,0,
imp_000105,user_0074,87,0,0,0,
imp_000106,user_0709,12,0,0,0,
imp_000107,user_0160,27,1,0,0,
imp_000108,user_0793,80,0,0,0,
imp_000109,user_0144,83,0,0,0,
imp_000110,user_0826,79,0,0,0,
imp_000111,user_0580,30,1,1,0,
imp_000112,user_0274,80,0,0,0,
imp_000113,user_0562,47,0,0,0,
imp_000114,user_0520,90,0,0,0,
imp_000115,user_0869,51,1,0,0,
imp_000116,user_0268,53,0,0,0,
imp_000117,user_0520,12,0,0,0,
imp_000118,user_0871,41,0,0,0,
imp_000119,user_0840,66,0,0,0,
imp_000120,user_0233,36,0,0,0,
imp_000121,user_0900,88,1,0,0,
imp_000122,user_0969,67,0,0,0,
imp_000123,user_0320,10,0,0,0,
imp_000124,user_0777,12,0,0,0,
imp_000125,user_0871,32,0,0,0,
imp_000126,user_0899,42,0,0,0,
imp_000127,user_0550,84,0,0,0,
imp_000128,user_0324,51,0,0,0,
imp_000129,user_0772,12,0,0,0,
imp_000130,user_0774,96,0,0,0,
imp_000131,user_0634,72,0,0,0,
imp_000132,user_0560,1,0,0,0,
imp_000133,user_0808,50,0,0,0,
imp_000134,user_0224,50,0,0,0,
imp_000135,user_0069,24,0,0,0,
imp_000136,user_0265,3,0,0,0,
imp_000137,user_0612,83,0,0,0,
imp_000138,user_0456,84,1,0,0,
imp_000139,user_0305,18,0,0,0,
imp_000140,user_0465,87,0,0,0,
imp_000141,user_0334,84,0,0,0,
imp_000142,user_0782,38,0,0,0,
imp_000143,user_0925,93,1,0,0,
imp_000144,user_0890,43,0,0,0,
imp_000145,user_0701,63,0,0,0,
imp_000146,user_0928,43,1,0,0,
imp_000147,user_0834,68,0,0,0,
imp_000148,user_0208,61,0,0,0,
imp_000149,user_0616,44,1,0,0,
imp_000150,user_0214,12,1,0,0,
imp_000151,user_0345,77,0,0,0,
imp_000152,user_0657,10,0,0,0,
imp_000153,user_0681,49,0,0,0,
imp_000154,user_0573,47,0,0,0,
imp_000155,user_0600,45,1,0,0,
imp_000156,user_0905,12,0,0,0,
imp_000157,user_0060,51,0,0,0,
imp_000158,user_0670,12,0,0,0,
imp_000159,user_0800,54,0,0,0,
imp_000160,user_0380,47,0,0,0,
imp_000161,user_0092,12,0,0,0,
imp_000162,user_0463,81,0,0,0,
imp_000163,user_0784,83,0,0,0,
imp_000164,user_0990,3,0,0,0,
imp_000165,user_0289,48,1,0,0,
imp_000166,user_0692,92,1,0,0,
imp_000167,user_0362,40,0,0,0,
imp_000168,user_0699,48,0,0,0,
imp_000169,user_0618,31,1,0,0,
imp_000170,user_0151,6,0,0,0,
imp_000171,user_0121,20,0,0,0,
